Company,is it aging?,aging mission?,core aging area?,multiple aging diseases?,core aging confs?,is it rejuvenation?,operating status,short summary,clinical stage,Tx or Dx,categories,diseases/ indications,species for final products,clinical trials,targets / pathway / MoAs,modalities,regulatory category,team,geo,public?,ticker Y!,ticker f/ G,market cap,"employees, Y! publics",employees LI,year founded,tot. raised,$ curr conv rate as of Aug'24,$ curr conv rate,raised other curr,pharma partners/ investors,deals $ value,product names,pubs/ papers,as of,date added to list,notes,full overall score,score w/o 4p focus,aging focus score,4-prong focus score,operating status score,pipeline image bonus,clin. stage score,# employees score,total raised / valuation score,Tx > Dx,pharma > supplements / unreg,pubs bonus,check for all 4 no,updated since Jul 2024?
Timeline,yes,yes,yes,yes,no,no,operating,"nutraceutical MitoPure, a pure Urolithin A for mitochondria health","commercial, ph.2 trials",Tx,['mitochondria'],"frailty/sarcopenia, wrinkles/skin-aging, COPD",humans,17,Urolithin A's targets/MoA,supplements,nutraceuticals,,Switzerland,no,,,,,47.0,2007-01-01,$83.2,1.18,1.29,CHf64.4,,,MitoPure,papers,2024-09-03,2022-06-30,Results of immune trial announced May'24. Formerly called Amazentis .,1.93,2.1,1.0,0.9,1.0,1.0,2.0,2.4,2.8,1.0,0.3,1.2,0,1
Praetego,yes,yes,yes,yes,no,no,operating,"class of BBB-penetrant small molecules that inhibit AGEs, esp for neurodegeneration, esp AD",pre-clinical,Tx,['ECM'],"AD, DPN, DR",humans,,,small molecules,pharma,Pepper Landson,,no,,,,,2.0,2017-01-01,$5.9,,,,,,,,2024-09-04,2024-08-15,,1.92,2.1,1.0,0.9,1.0,1.0,0.5,0.4,1.2,1.0,1.0,1.0,0,1
Booster Therapeutics,yes,yes,yes,,no,,operating,small molecules to boost the activity of 20S proteosomes for proteostasis,pre-clinical,Tx,['proteostasis'],,humans,,20S proteosome,small molecules,pharma,Diogo R. Feleciano,,no,,,,,4.0,2020-01-01,$15,,,,,,,,2024-10-21,2024-10-17,Apollo VC invested.,1.85,3.1,1.0,0.6,1.0,1.0,0.5,0.9,1.7,1.0,1.0,1.0,0,1
Elastrin Therapeutics,yes,no,yes,,yes,yes,operating,drug plattform for damaged elestin: nanoparticle with drug + elastin antibody for targeting,pre-clinical,Tx,['ECM'],"Marfan, COPD, cardiovascularDs",humans,,elastin,,pharma,Naren Vyavahare,"Greenville, SC",no,,,,,9.0,2017-01-01,$21,,,,,,,papers,2024-09-04,2022-06-28,,1.81,4.5,1.0,0.4,1.0,1.0,0.5,1.4,1.9,1.0,1.0,1.2,0,1
Renewal Bio,yes,yes,yes,,yes,yes,operating,"""renew humanity - making all of us young and healthy""",pre-clinical,Tx,['stem cells'],,humans,,,,pharma?,,Israel,no,,,,,14.0,2022-01-01,unknown,,,,,,,2021 paper 2022 paper,2023-05-27,2023-05-29,"*Replacement cell/organ source technology company, including as stem cell source but also replacement tissue/organs. ""Stem cells"" is the categorical term used on this site for regenerative med even if not based on stem cells.",1.8,2.6,1.0,0.7,1.0,1.0,0.5,1.6,0.0,1.0,1.0,1.2,0,0
Aegle Therapeutics,yes*,no,yes,no,no,,operating,"bone marrow derived mesenchymal stem cell extracellular vesicles , mostly for skin conditions",ph.2 trials,Tx,['stem cells'],"epidermolysis bullosa, burns, GVHD",humans,2,"COL7 / collagen VII, collagen IV",extracellular vesicles,pharma,,"Miami, FL",no,,,,,6.0,2013-01-01,$13.5,,,,,,,at bottom,2024-09-03,2024-09-03,"*Company entirely focusedon non-age-related indications as of 2024, but stem cell EVs clearly age-related.",1.79,6.0,1.0,0.3,1.0,1.1,2.2,1.1,1.7,1.0,1.0,1.2,0,1
Akero Therapeutics,yes,no,yes,no,no,no,operating,"FGF21 mimetic, an engineered protein called efruxifermin",ph.3 trials,Tx,['metabolism'],MASH,humans,6,FGF21,biologics,pharma,Andrew Cheng,SF,yes,AKRO,,,60.0,67.0,2017-01-01,,,,,,,,,2024-11-23,2024-10-25,,1.77,5.9,1.0,0.3,1.0,1.1,3.3,2.6,0.0,1.0,1.0,1.0,0,1
GEn1E Lifesciences,yes,no,yes,no,no,no,operating,"drug discovery platform for inflammatory diseases, lead is p38α kinase inhibitor",ph.2 trials,Tx,['inflammation'],ARDS,humans,2,"p38α:MK2, ERK 1/2",drugs,pharma,,SF,no,,,,,15.0,2018-01-01,$17,,,,,,,,2024-08-03,2019,"*Website doesn't really talk about aging, just inflammation, but main target p38 clearly age related.",1.7,5.7,1.0,0.3,1.0,1.1,2.2,1.7,1.8,1.0,1.0,1.0,0,1
Niagen Bioscinece,yes,yes,yes,yes,no*,no,operating,"nutraceuticals for aging, esp. Tru Niagen w/ nicotinamide riboside , an NAD+ precursor","commercial, ph.4 trials",Tx,['mitochondria'],"cancer, MCI, HF, mitoDs, more...",humans,43,NAD+,supplements,nutraceuticals,"Robert Fried, Charles Brenner",LA,yes,NAGE,,$413,104.0,129.0,1999-01-01,$85,,,,,,Tru Niagen,papers,2024-07-16,2019,*Charles Brenner attends a few conferences but more as a scientist than company rep & not the execs or company as sponsor/presenter.,1.96,2.2,1.0,0.9,1.0,1.0,0.5,3.0,3.7,1.0,0.3,1.2,0,1
Mitrix,yes,yes,yes,,yes,yes,operating,"mitochondria transplant of bioreactor-grown ""young"" mitochondria",pre-clinical,Tx,['mitochondria'],,humans,,,cell/organelle therapy,pharma,Tom Benson,SF,no,,,,,9.0,2018-01-01,$0.3,,,,,,,papers,2024-09-07,2019,,1.68,2.4,1.0,0.7,1.0,1.0,0.5,1.4,0.1,1.0,1.0,1.2,0,1
Cerevance,only neuro,no,,yes,no,no,operating,"drug discovery platform based on sequencing of post-mortem human brain tissue: transcriptome diffs by age, cell type, region, & disease",ph.3 trials,Tx,['broad platform'],"PD, AD, ALS, obesity",humans,10,"GPR6, Ox1R, KCNK13, THIK-1",small molecules,pharma,,"Cambridge, UK",no,,,,,61.0,2016-01-01,$204,,,,,,Solengepras,papers,2024-09-20,2019,,1.65,5.5,0.5,0.3,1.0,1.1,3.3,2.6,3.3,1.0,1.0,1.2,0,1
ADvantage Therapeutics,only neuro*,yes*,yes,no,no,no,operating,neurodegeneration therapeutics: lead discovered via unexpected AD benefit when used is control in ph.2 trial for a diff tx; klotho tx in preclinical,ph.2 trials,Tx,['klotho'],AD,humans,0,,,pharma,Jeffrey Madden,"Vienna, Austria",no,,,,,12.0,2021-01-01,$15,,,,,,,,2024-09-03,2024-08-15,*Mostly focused on AD but neurodegeneration more broadly is the stated scope. Lead MoA not fully understood but believed to be immune modulator.,1.64,2.7,0.5,0.6,1.0,1.1,2.2,1.5,1.7,1.0,1.0,1.0,0,1
Khondrion,yes,no,yes,no,no,,operating,"drug development for mitochondrial diseases, with an established lead molecule",ph.2 trials,Tx,['mitochondria'],"MELAS, mitoDs",humans,6,peroxiredoxin enzyme,drugs,pharma,Jan Smeitink,Netherlands,no,,,,,8.0,2012-01-01,$3.9,1.1,1.18,€3.3,,,Sonlicromanol,papers,2024-08-04,2021-05-05,,1.61,5.4,1.0,0.3,1.0,1.1,2.2,1.3,1.0,1.0,1.0,1.2,0,1
Matter Bio,yes,yes,yes,,,yes,operating,"DNA mutation reversal to combat genomic info loss: 4 prongs: detect loss, enhance repair, make repairs, kill cells too far gone",pre-clinical,Tx,"['genomic', 'umbrella company']",,humans,,,,pharma,"Chris Bradley, George Church",,no,,,,,4.0,2022-01-01,$7,,,,,,,,2024-09-01,2024-08-15,"Sub-companies include: Spellcheck Bio , Loki TX , MutagenTech .",1.59,2.7,1.0,0.6,1.0,1.0,0.5,0.9,1.3,1.0,1.0,1.0,0,1
Elysium Health,yes,yes,yes,yes,no,no,operating,"age clock & supplements: NR+ pterostilbene or NMN + SIRT3 activator for NAD+, hyaluronic acid + carotenoids for skin, brain vits, immune vits + senolytic supplements","commercial, ph.4 trials*","Tx, Dx","['mitochondria', 'epigenetic']","MS, OA, frailty, NAFL, AKI, ALS, COPD, menopauseDs",humans,20,"NAD+, SIRT3","supplements, saliva sample","nutraceuticals, unreg test","Eric Marcotulli, Leonard Guarente",NYC,no,,,,,78.0,2014-01-01,$71,,,,,,"Basis, Index, Matter, Signal, Format",trial papers,2024-07-27,2019,"*No conventional pipeline page, but some description of trials on their science page.",1.58,1.8,1.0,0.9,1.0,1.0,0.5,2.7,2.7,1.0,0.3,1.2,0,1
Luca Science,yes,no,yes,,no,yes,operating,functional mitochondria as therapeutic agents for transplantation,pre-clinical,Tx,['mitochondria'],"Leigh syndrome, ischemia- reperfusion injury",humans,,,cell/organelle therapy,pharma,Rick C. Tsai,"Tokyo, Japan",no,,,,,13.0,2018-01-01,$39,,,,,,,paper + conf abstracts,2024-09-11,2024-09-11,,1.58,5.3,1.0,0.3,1.0,1.0,0.5,1.6,2.3,1.0,1.0,1.2,0,1
Neurona Therapeutics,only neuro,no,yes,no,no,yes,operating,"allogeneic neuronal, glial, and gene-edited neural fully-differentiated cell therapies from iPSCs for single-dose targeted repair of the nervous system",ph.2 trials,Tx,['stem cells'],"Epilepsy, AD",humans,1,"inhibitory neurons, glial cells",cell therapy,pharma,Cory R. Nicholas,SF,,,,,,70.0,2008-01-01,$320.30,,,,,,,papers,2024-08-12,2024-08-12,"RMAT for lead, Jun'24.",1.52,5.1,0.5,0.3,1.0,1.1,2.2,2.6,3.6,1.0,1.0,1.2,0,1
Asha Therapeutics,yes,no,yes,yes,no,no,operating,drug design platform with leads in mitochondrial health & inhibition of neurodegeneration,pre-clinical,Tx,['mitochondria'],"AD, PD, ALS, post viral illness, glaucoma",humans,,"DRP1, SARM1",small molecules,pharma,Sam Shrivastava,"Tampa Bay, FL",no,,,,,10.0,2021-01-01,$1.4,,,,,,,,2024-09-07,2024-08-15,,1.51,2.5,1.0,0.6,1.0,1.1,0.6,1.4,0.5,1.0,1.0,1.0,0,1
Cytegen,yes,yes,yes,yes,no,,operating,"mitochondria platform via omics data, esp regulating fission & fusion, esp for cardiovascular & neurological function",pre-clinical,Tx,"['mitochondria', 'metabolism']",,humans,,,biologics,pharma,,,no,,,,,2.0,2014-01-01,$2.1,,,,,,,,2024-09-07,2019,,1.47,1.6,1.0,0.9,1.0,1.0,0.5,0.4,0.7,1.0,1.0,1.0,0,1
Aelan Cell Technologies,yes,yes,yes,yes,no,yes,operating,stem cell technology for health & longevity,pre-clinical,"Tx, Dx",['stem cells'],"cancer, cosmetics",humans,,,,"pharma, nutraceuticals",Victoria Lunyak,SF,no,,,,,4.0,2015-01-01,unknown,,,,,,,papers,2024-10-18,2021-05-06,,1.47,1.6,1.0,0.9,1.0,1.0,0.5,0.9,0.0,1.0,1.0,1.2,0,1
Telocyte,yes*,yes**,yes,no,yes,yes,operating,"telomerase gene therapy to reset gene expression to fix cell senescence, 1st & primarily for AD",pre-clinical,Tx,['telomeres'],AD,humans,,,gene therapy,pharma,"Michael Fossel, Peter Rayson",,no,,,,,7.0,2015-01-01,undisclosed but funded***,,,,,,,papers + 2 books,2024-10-17,2020-02-09,"*Focused on AD, but telomerase therapy clearly more broadly applicable to aging, eg 2022 company paper on importance for CVD. **Mission stated as AD in many places but exerc summary in investors & media says ""mission to reverse and cure age-related diseases"". ***Funding undiscloved but funded ""through to clinical trials"".",1.44,2.1,1.0,0.7,1.0,1.0,0.5,1.2,0.0,1.0,1.0,1.2,0,1
Muvon Therapeutics,yes,no,yes,no,no,yes,operating,"autologous cell therapy for the regeneration of skeletal muscle , 1st for stress urinary incontinence",ph.2 trials,Tx,['stem cells'],urinary incontinence,humans,1,,cell therapy,pharma,,Zurich,no,,,,,20.0,2020-01-01,$0.01,1.15,1.29,,,,,papers,2024-10-17,2023-01-24,,1.39,4.6,1.0,0.3,1.0,1.0,2.0,1.9,0.0,1.0,1.0,1.2,0,1
Eidos Therapeutics,yes,no,yes,no,no,no,acquired*,small molecule to make TTR stable to prevent ATTR by mimicing bonds from a natural gene variant that's 40x more stable,FDA approved,Tx,['proteostasis'],ATTR,humans,11,TTR,small molecules,pharma,,SF,no,,,,,30.0,2016-01-01,$64,,,,,,Attruby,,2024-08-02,2022-06-20,"*Was public, then fully acquired by BridgeBio in 2021. ATTR is implicted in the deaths of the majority of super-centenarians, and is found in a large % of lower aged people's, and involved in neurodegeneration.",1.31,4.4,1.0,0.3,0.5,1.0,4.0,2.1,2.6,1.0,1.0,1.0,0,1
Neurodon,yes,no,yes,yes,yes,no,operating,allosteric SERCA activator to fix calcium imbalance & endoplasmic reticulum stress,pre-clinical,Tx,['proteostasis'],"T1D, T2D, AD, PD",,,SERCA,small molecules,pharma,Russell Dahl,,no,,,,,1.0,2012-01-01,$4,,,,,,,papers,2025-10-23,2025-10-14,,1.3,1.9,1.0,0.7,1.0,1.1,0.6,0.0,1.0,1.0,1.0,1.2,0,1
Nanotics,borderline*,no,yes,yes,yes,,operating,general platform to remove pathogenic signaling molecules from blood using engineered nanoparticles without binding to the same targets on cell surfaces,pre-clinical,Tx,['cell communication'],,humans,,"sPD-L1, sTNF-R1, sTNF-R2",injected nano- particles,pharma**,Lou Hawthorne,SF,no,,,,,8.0,2015-01-01,$17,,,,,,,,2024-10-19,2023-05-29,"*General platform but high focus on age-related diseases & consistent presentations at age-related confs. **Nanots designated as drugs by FDA, but empty Nanots w/o capture agents may be classified as devices in future, streamlining some regulatory steps.",1.26,1.8,0.5,0.7,1.0,1.0,0.5,1.3,1.8,1.0,1.0,1.0,0,1
Aspen Neuroscience,only neuro*,no,yes,no,no,yes,operating,"autologous iPSC-derived therapies, first neuron replacement, initially for PD",pre-clinical,Tx,['stem cells'],PD,humans,,A9-like dopamine neurons,cell therapy,pharma,,SD,no,,,,,109.0,2018-01-01,$272,,,,,,,papers,2024-08-02,2022-06-19,"*Single disease pursuit at the moment, but replacement neurons clearly important for neurodegenerations more broadly.",1.25,4.2,0.5,0.3,1.0,1.1,0.6,2.9,3.5,1.0,1.0,1.2,0,1
Cyclo Therapeutics,borderline*,no,yes,no,no,yes?,operating,"hydroxypropyl beta cyclodextrin for cholesterol transport, first for AD & Niemann-Pick",ph.3 trials,Tx,['intracell junk'],"Niemann Pick, AD",humans,6,cholesterol,drugs,pharma,N. Scott Fine,"Gainesville, FL",yes,CYTH,,"$7,212",8.0,18.0,1990-01-01,$17,,,,,,Trappsol Cyclo,papers,2024-08-02,2022-06-01,*Yes tentatively based on likely breadth of platform applicability.,1.91,6.4,0.5,0.3,1.0,1.1,3.3,1.8,5.5,1.0,1.0,1.2,0,1
ReverSASP Therapeutics,yes,yes,yes,,,no,operating,aging pipeline based on senescent cells,pre-clinical,Tx,['senescence'],,humans,,,,pharma,,Japan,no,,,,,2.0,2022-01-01,$4.9,,,,,,,,2024-09-03,2024-09-03,,1.22,2.0,1.0,0.6,1.0,1.0,0.5,0.4,1.1,1.0,1.0,1.0,0,1
Mogling Bio,yes,yes,yes,,yes,,operating,"rejuvenate old stem cells, specifically HSCs, via pharmacological Cdc42 inhibition",pre-clinical,Tx,['stem cells'],,humans,,Cdc42,,pharma,Jürgen Reeß,"Cincinatti, OH",no,,,,,1.0,2022-01-01,$3.54,,,,,,,in news or search,2024-10-17,2022-10-27,Backed by Kizoo.,1.21,1.7,1.0,0.7,1.0,1.0,0.5,0.0,0.9,1.0,1.0,1.2,0,1
Capacity Bio,yes,no,yes,,,,operating,"small molecules, peptides, and nanoparticles to enhance mitophagy",pre-clinical,Tx,['mitochondria'],,humans,,,"small molecules, peptides",pharma,Ken Horne,,no,,,,,8.0,2021-01-01,$35,,,,,,,,2024-09-25,2024-09-25,,1.21,4.0,1.0,0.3,1.0,1.0,0.5,1.3,2.2,1.0,1.0,1.0,0,1
SIWA Therapeutics,yes,no,yes,,yes,yes,operating,"humanized mAb targeting cancer, senescent, & microbe-infected cells w/ proprietary cell surface marker of high aerobic glycolysis & oxidative stress",pre-clinical,Tx,"['senescence', 'genomic']",cancer,humans,,,biologics,pharma,Lewis S. Gruber,Chicago,no,,,,,9.0,2006-01-01,$1.6,,,,,,,1 paper,2024-10-04,2019,,1.18,3.0,1.0,0.4,1.0,1.0,0.5,1.4,0.6,1.0,1.0,1.2,0,1
Fountain Therapeutics,yes,yes,,,no,no,operating,"AI & vision driven drug discovery platform based on cellular resilience, for aging diseases",pre-clinical,Tx,,,humans,,,drugs,pharma,Thomas Rando,SF,no,,,,,9.0,2018-01-01,$26,,,,Lilly,,,,2024-08-16,2019,,1.17,3.9,1.0,0.3,1.0,1.0,0.5,1.4,2.0,1.0,1.0,1.0,0,1
Sierra Sciences & Sierra Holdings,yes,yes,yes,,no,yes,operating,"telomerase supplements & drugs to extend telomeres for aging, currently via licensing","pre-clinical, pre-commercial?",Tx,['telomeres'],,humans,,,"small molecules, supplements, gene therapy","pharma, nutraceuticals",Bill Andrews,"Reno, NV",no,,,,,21.0,1999-01-01,unknown,,,,,,,,2024-10-17,2019,,1.14,1.9,1.0,0.6,1.0,1.0,0.0,1.9,0.0,1.0,1.0,1.0,0,1
Videregen,yes,no,yes,,no,yes,operating,thymus multipotent stem cell science platform for making engineered thymus organs for transplant,pre-clinical,Tx,['stem cells'],DiGeorge syndrome,humans,,,cell therapy,pharma,,UK,no,,,,,4.0,2011-01-01,$8.36,,,,,,,papers,2024-10-16,2024-08-15,,1.01,3.4,1.0,0.3,1.0,1.1,0.6,0.9,1.4,1.0,1.0,1.2,0,1
Ridgeline Therapeutics,yes,no,yes,yes,no,no,operating,small molecules inhibitors of NNMT,pre-clinical,Tx,"['mitochondria', 'metabolism']","muscle, obesity, T2D, obesity, MD, glioblastoma",humans,,NNMT,small molecules,pharma,Stan Watowich,Houston,no,,,,,5.0,2012-01-01,unknown,,,,,,,at least 1 mixed w/ news,2024-09-04,2019,"Not to be confused with Ridgeline of Basel, Switzerland, a Versant Ventures company.",1.12,1.9,1.0,0.6,1.0,1.1,0.6,1.0,0.0,1.0,1.0,1.2,0,1
5 Alarm Bio,yes,yes,,yes,no,no,operating,drugs to boost natural cell defenses against damaging chemicals that arise naturally & accumulate w/ age,pre-clinical,Tx,['proteostasis'],"wound healing, AD, PD, sarcopenia",humans,,,small molecules,pharma,Janette Thomas,"Cambridge, UK",no,,,,,4.0,2016-01-01,$1.0,1.29,1.35,,,,,,2024-10-17,2019,,1.1,1.8,1.0,0.6,1.0,1.1,0.6,0.9,0.4,1.0,1.0,1.0,0,1
BioChange ltd,yes,yes,yes,no,no,yes,operating,ECM-mimicing 3D bio-adhesive foam scaffold for tissue regeneration ; newly grown tissue notably vascularized,"pet commercial, pre-clinical",Tx,"['ECM', 'stem cells']","periodontal , incontinence , skin","dogs, humans",,,tissue scaffold,"veterinary, pharma","Ishay Attar, Iris Shichor",Israel,no,,,,,15.0,2017-01-01,$3,,,,,,"VetFoam, REGUM",2 veterinary papers,2024-08-16,2021-05-02,,1.1,1.8,1.0,0.6,1.0,1.0,0.5,1.7,0.9,1.0,0.5,1.2,0,1
Lento Bio,yes,yes,yes,no,,yes,operating,"small molecules to treat molecular damage, 1st for AGEs, 1st as eye drops for presbyopia to increase lens flexibility to eleminate need for corrective lenses",pre-clinical,Tx,['ECM'],presbyopia,humans,,,small molecules,pharma,Kris Barnes,"Syracuse, NY",no,,,,,1.0,2022-01-01,$5.7,,,,,,,,2024-10-18,2022-06-09,Ichor sub-company.,1.01,1.7,1.0,0.6,1.0,1.0,0.5,0.0,1.2,1.0,1.0,1.0,0,1
OneSkin Technologies,yes,yes,yes,no,yes,no,operating,"topical peptide that boosts DNA repair in senescent cells, suppressing secretions & inhibiting accumulation of more senescent cells",commercial,Tx,['senescence'],,humans,,,topical peptide,cosmetic,"Carolina Reis Oliveira, Alessandra Zonari",SF,no,,,,,38.0,2016-01-01,$22,,,,,,OS-01,papers,2024-10-16,2019,,0.99,1.4,1.0,0.7,1.0,1.0,0.5,2.3,1.9,1.0,0.3,1.2,0,1
Eos SENOLYTIX,yes,yes,yes,yes,yes,yes,operating,"peptides that affect declining mitochondria membrane potential, improving mito function & acting as a systemic senolytic",pre-clinical,Tx,"['senescence', 'mitochondria']","obesity/metabolic, sarcopenia/frailty, TBI",,,,peptides,pharma,Kevin Slawin,"Miami, FL",no,,,,,2.0,2017-01-01,,,,,,,MitoXcel,,2025-10-23,2025-07-03,Subcompany of Gerotherapeutix Inc.,0.98,1.0,1.0,1.0,1.0,1.1,0.6,0.4,0.0,1.0,1.0,1.0,0,1
Algorae Pharma,borderline*,no,yes,yes,no,yes,operating,was regen med / cell therapy esp for dementia company but now self-described AI for drug discovery but maintains the main ph.2 regen med PD therapy,ph.2 trials,Tx,['stem cells'],"PD, dementias, CVD",humans,3,,"small molecules, cell therapy",pharma,,"Sydney, Australia",yes,LVCLF,,$25,,7.0,1987-01-01,unknown,,,,,,NTCELL,,2024-11-18,2024-08-15,"*Pre-renaming incarnation as Living Cell Technologies it was clearly an aging company, specifically cell-therapy primarily for neuro, but now pivoted to be more general AI for drug discovery but it retains the cell therapy program first for PD, for now at least, and new programs are all for age-related diseases so far.",1.57,2.6,0.5,0.6,1.0,1.0,2.0,1.2,2.0,1.0,1.0,1.0,0,1
Equator Therapeutics,yes,no,yes,,yes,no,operating,"pharmacologiycal stimulation of mitochondrial thermogenesis for obesity, including via mitochondlia uncoupling",pre-clinical,Tx,['mitochondria'],obesity,humans,,"AAC, UCP1",small molecules,pharma,"Jonah Sinick, Yuriy Kirichok",SF,no,,,,,6.0,2019-01-01,$0.7,,,,,,,a few papers,2024-09-07,2021-04-03,,0.92,2.3,1.0,0.4,1.0,1.0,0.5,1.1,0.3,1.0,1.0,1.2,0,1
AgelessRx,yes,yes,yes,yes,no,no,operating,"online sales of aging-related prescription drugs, supplements, & tests",commercial,"Tx, Dx",['access company'],,humans,,,"drugs, supplements",vendor w/ in-house MDs,Anar Isman,Detroit,no,,,,,62.0,2019-01-01,$4.2,,,,,,,,2024-09-03,2023-05-29,Formerly called Qalytude.,0.92,1.0,1.0,0.9,1.0,1.0,0.5,2.6,1.0,1.0,0.3,1.0,0,1
Origami Therapeutics,only neuro,yes,yes,yes,no,yes,operating,platform for small molecules that degrade disease-causing proteins or correct protein conformation,pre-clinical,Tx,['proteostasis'],"HD, AD, PD, ALS",humans,,mHTT,small molecules,pharma,Beth Hoffman,SD,no,,,,,6.0,2016-01-01,$0.5,,,,,,,,2024-08-22,2024-08-15,"Protein degraders are somewhat like catalytic antibodies in the sense of degrading the target not just inhibiting it or binding to it to inactivate it like an antibody, but degraders don't require a binding site so are more general .",0.86,1.0,0.5,0.9,1.0,1.1,0.6,1.1,0.3,1.0,1.0,1.0,0,1
Muna Therapeutics,only neuro,yes*,,no**,no,no,operating,single cell spatial multi-omics bioinformatics small molecule platform to enhance resilience to neurodegeneration,pre-clinical,Tx,,"AD, PD, MS",humans,,"TREM2, Kv1.3",small molecules,pharma,,Copenhagen,no,,,,,53.0,2020-01-01,$78,,,,,,,,2024-08-30,2024-08-15,"*Given neuro-only scope, seems mostly focused on neurodegeneration more than non-age-related neuro. **Has both AD & PD programs, but with different targets.",0.86,2.9,0.5,0.3,1.0,1.1,0.6,2.5,2.7,1.0,1.0,1.0,0,1
Cynata Therapeutics,yes,no,yes,yes,no,yes,operating,scalable iPSC-derived allogeneic MSCs,ph.3 trials*,Tx,['stem cells'],"OA, GVHD, DFUs, kidney transplant",humans,4,MSCs,cell therapy,phrama,Kilian Kelly,Melbourne,yes,CYP.AX,CYYNF,$84,,10.0,2011-01-01,,,,,,,,papers,2025-09-10,2025-03-04,*OA ph3 trial registered on the Australia New Zealand Clinical Trials Registry.,1.35,2.2,1.0,0.6,1.0,1.1,3.3,1.4,2.8,1.0,0.3,1.2,0,1
Amaro Therapeutics,yes,no,yes,yes,yes,no,operating,small molecules targeting bitter taste receptors affecting metabolism via gut/endocrine effects & suppressing SASP,pre-clinical,Tx,"['metabolism', 'inflammation', 'senescence']","obesity, T2D, MASH",,,TAS2Rs,small molecules,pharma,J. Michael French,NYC,no,,,,,3.0,2021-01-01,,,,,,,,,2025-10-23,2025-10-14,,0.83,1.2,1.0,0.7,1.0,1.0,0.5,0.7,0.0,1.0,1.0,1.0,0,1
IMEL Biotherapeutics,yes,no,yes,no,no,no,operating,autologous T-cell therapy using mitochondria replacement / transplantation to rejuvenate the T cells,pre-clinical,Tx,['mitochondria'],,humans,,,cell therapy,pharma,Taro Inaba,,no,,,,,2.0,2019-01-01,$15,,,,,,,,2024-09-10,2024-08-15,,0.8,2.7,1.0,0.3,1.0,1.0,0.5,0.4,1.7,1.0,1.0,1.0,0,1
Amprion,only neuro,yes,yes,yes,yes,no,operating,"amplification of misfolded proteins for sensitive detection in CSF & blood, 1st for α-Syn",commercial,Dx,['proteostasis'],"PD, AD",humans,,α-synuclein,CSF,reg Dx,"Russell Lebovitz, Claudio Soto","SD, SF",no,,,,,36.0,2007-01-01,$17,,,,,,SAAmplify-ɑSYN,papers,2025-03-24,2019,Breakthrough device designation from FDA in May 2019 for alpha-Synuclein. Not to be confused with the Germany electrical grid company of the same name.,0.73,0.7,0.5,1.0,1.0,1.0,0.5,2.2,1.8,0.3,0.8,1.2,0,1
Caraway Therapeutics,yes,,yes,,no,yes,acquired*,small molecule therapies for neuro and rare genetic diseases by regulating lysosome,pre-clinical,Tx,['intracell junk'],PD,humans,,TRPML1,small molecules,pharma,,,,,,$610,,,2018-01-01,$23,,,,,,,,2024-08-12,2024-08-12,"*Acquired by Merck, Nov'23.",0.67,2.2,1.0,0.3,0.5,1.0,0.5,0.0,4.0,1.0,1.0,1.0,0,1
BYOMass Therapeutics,yes,no,yes,,no,no,operating,selective targeting of submembers of TGF-β superfamily of secreted factors,pre-clinical,Tx,['metabolism'],,humans,,,,pharma,Margaret Jackson,Boston,no,,,,,2.0,2017-01-01,$6.5,,,,,,,,2024-10-17,2019,Juvenescence sub-company.,0.65,2.2,1.0,0.3,1.0,1.0,0.5,0.4,1.3,1.0,1.0,1.0,0,1
Gerostate Alpha,yes,yes,,,yes,,operating,pharmaceutical scerening platform to treat aging,pre-clinical,Tx,['broad platform'],,humans,,,drugs,pharma,,SF,no,,,,,2.0,2018-01-01,$2.1,,,,,,,,2024-10-18,2019,,0.65,1.6,1.0,0.4,1.0,1.0,0.5,0.4,0.7,1.0,1.0,1.0,0,1
Ponce de Leon Health / Rejuvant,yes,yes,yes,,,,operating,Ca-AKG supplement + vitamins; increased lifespan in model species & reversed an older-gen aging clock in human pilot study,commercial,Tx,,,humans,1,AKG's targets/MoAs,supplements,nutraceuticals,"Tom Weldon, Brian Kennedy","Jacksonville, FL",no,,,,,9.0,2014-01-01,$15.9,,,,,,Rejuvant,2021 human pilot trial,2024-09-04,2019,,0.65,1.1,1.0,0.6,1.0,1.0,0.5,1.4,1.8,1.0,0.3,1.2,0,1
YouthBio Therapeutics,yes,yes,yes,,yes,yes,operating,tissue/organ-specific partial epigenetic reprogramming gene therapy via Yamanaka factors & new factor discovery,pre-clinical,Tx,['epigenetic'],AD,humans,,OSKM,,pharma,"Yuri Deigin, João Pedro de Magalhães",,no,,,,,2.0,2021-01-01,unknown,,,,,,,,2024-09-01,2023-03-14,See also March'23 piece: https://longevity.technology/news/meet-the-founder-yuri-deigin/,0.65,0.9,1.0,0.7,1.0,1.0,0.5,0.4,0.0,1.0,1.0,1.0,0,1
InGeneron,yes,no,yes,no,no,yes,operating,autologous adult stem cell therapy for orthopedic applications,device pivotal trials,Tx,['stem cells'],"RC tears, lower back pain, wrist OA",humans,9,,cell therapy,device,Eckhard Alt,Houston,no,,,,,20.0,2006-01-01,$55,,,,,,,papers,2024-09-04,2023-05-29,,0.64,2.1,1.0,0.3,1.0,1.1,2.8,1.9,2.5,1.0,0.3,1.2,0,1
